"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"9845_3",0.0614965033988594,0.0500206901787245,0.0205612147177201,0.102796286409689,0.0476482484117699,0.0402874899460042,0.00946865153900617,0.0326849213502592,0.0860801529615114,0.051828894058436,0.00174832955764545,0.0107058377179967,0.00387144750873206,0.0367017611499644,0.0630561750759902,0.00683708669059587,0.0522266805490423,0.0194901379255293,0.0063017228809502,0.018032186253866,0.0406515047038226,0.0242458007757784,0.00219979478879378,0.0572041205885704,0.0563139112593128,0.00327833732866831,0.0236813076689649,0.0196589137697065,0.00263373881525723,0.0482881520188327
"9841_5",0.00889568178416962,0.0176038134407706,0.00863247995378804,0.0241821868209402,0.0168076028938381,0.016586645035813,0.00468225085225911,0.0222840720948087,0.017901941580377,0.0171391422154029,0.653272955955985,0.00894910182161759,0.000891521813577955,0.0138846215595126,0.0192658601020855,0.00150572116327473,0.0164498741909807,0.00765550118009984,0.00369173220923688,0.0066322912574062,0.0159286596354782,0.025405345849513,0.00044994715442159,0.0174350966407785,0.0183379072125277,0.000531850763512996,0.00694062102615156,0.00987762278831685,0.00143022498915301,0.016747726014202
"9845_2",0.00142720175085456,0.00423609920773945,0.00186572214877526,0.00420331738438959,0.00420807948965153,0.00342361994675121,0.928879800995804,0.00336544057222795,0.00411365355085112,0.00427084832460447,0.000161672268091435,0.00167445478438322,0.000471811229730338,0.00310294512623433,0.00429925788154288,0.000522203347443491,0.00382674158095574,0.00144442376085618,0.000483481588967512,0.00187890055159225,0.0035995020634862,0.00192804831418451,0.000117805133788783,0.00426143824919139,0.00425047151639822,0.000238976462595688,0.00180998397080726,0.00168059228735844,0.000233606812989225,0.00401989969775393
"9845_1",0.00964574932262769,0.031546517964302,0.0119170226140907,0.0288883088940242,0.0268568878039915,0.0346267734264266,0.0937532856678801,0.343101714975704,0.0249723531491196,0.0283886536122839,0.00130332577290036,0.00991459421014899,0.00184592133795556,0.0174087428632029,0.0296202784238123,0.00201390114035608,0.0583892725502373,0.0081718395489713,0.00305089310492468,0.00602838470398484,0.0960801542445023,0.0133680879344146,0.000761633561838981,0.0299223721040888,0.0307976288216358,0.0010088359323019,0.01194316670261,0.0126262983464085,0.00198030564500927,0.0300670956202455
"9841_4",0.146699441429056,0.0475278391579796,0.023435218541349,0.0497574673227544,0.0442590041490362,0.0486931569248594,0.0105354043341601,0.0550821022286783,0.0494648509481064,0.0464917353913943,0.00337520682540511,0.0178076080735285,0.00412991341267011,0.0385484404253117,0.0506431385712433,0.00589530531337182,0.0431279470481443,0.0187724234204801,0.00922990971153418,0.0189845730803954,0.0412561209682527,0.0338148144255095,0.00224712205410531,0.047829655363642,0.0503468467845675,0.00275645440571701,0.0209470722976205,0.0206062809851304,0.00325232645367218,0.0444826199523245
"9841_3",0.0378537088857465,0.0386037340991666,0.297759422213742,0.0397449783567388,0.0357988708823193,0.0342506566948556,0.00844213110232765,0.0425228769769095,0.0386154263998288,0.0374896277663323,0.00202471378152773,0.0155953496287248,0.00431932681968221,0.0354471557825355,0.0395206177852735,0.00479612435138084,0.0442123755452738,0.0139333111210086,0.00568736559423696,0.0142819614682371,0.0332948317952808,0.0220057061451259,0.00172756445643348,0.0384543637428202,0.0396137460094746,0.00247688752123679,0.015583049213914,0.0161278901041094,0.00305206031344821,0.036764165442308
"9841_2",0.109429288954258,0.0298543758988198,0.0320938182616004,0.0300934967837202,0.0282447151907368,0.0270616057848021,0.0064556471871613,0.0321239783715524,0.0294643852913345,0.0286999198561639,0.203243726132792,0.0128778143757493,0.00145132093139828,0.0226273081111775,0.0303912654545366,0.00237275552106457,0.0281740013840145,0.0113937778611522,0.00622236611845095,0.00861685096404856,0.026755198922374,0.174579161885209,0.000989556389144506,0.0294595321113711,0.0312298059358186,0.000873555129479464,0.0118443308190012,0.0126959277210536,0.00192240920527738,0.0287581034467371
"9841_1",0.0192085807792254,0.0459054870373963,0.158626582600943,0.0533540862051447,0.0428151047991872,0.0607293437247753,0.0108132176858969,0.0420509142345037,0.0475140470666348,0.0457293363733014,0.00210237924651706,0.0181051252438154,0.0057908537356788,0.0352850203213481,0.0475030936736219,0.00684178082119048,0.0454630040479416,0.0193031976128406,0.00800783183160521,0.0209597203750023,0.04005099594271,0.0292021559640264,0.00233988548613996,0.0459755957756753,0.047332671531908,0.00352071515855818,0.0247855336209656,0.0232291153515695,0.00364879840550713,0.0438058253463698
"9845_0",0.0117644540711805,0.0292706774617654,0.0144204174071771,0.0306339699715132,0.0269958589709727,0.027403031905351,0.00712558544293805,0.480607057502164,0.0466772033727069,0.029026854980539,0.00272404320642291,0.0186634713564316,0.00251076317290868,0.0234282527416669,0.029989968126504,0.00255295775702862,0.026788704650547,0.0108342281420563,0.00456904900705422,0.00913932939903004,0.0255551884214286,0.0223913125439624,0.00104957010047027,0.030029344793881,0.030312653887778,0.00124818506611451,0.0100684451804118,0.0129557391208363,0.00320154252670824,0.0280621397124507
"9845_top",0.00716005528157943,0.0280402300168285,0.00976025569384882,0.0277112037905306,0.023800837496988,0.0324892311459061,0.042140178787947,0.0688663547399502,0.0201976751255321,0.0237028349639193,0.000591594896831822,0.201291363524918,0.0234569052738505,0.0178036298505895,0.0288072961136181,0.00162074916505833,0.0227282896389734,0.00644185468686771,0.00224809336882925,0.00339189691414528,0.0346389393457713,0.040932151503276,0.0746469426970589,0.0269391506653616,0.0269229100857262,0.000738185409236494,0.0259832099011068,0.00746423268466985,0.14304340648253,0.0264403407485502
